City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,lahaina,20.8783,-156.6825,79.0,81,21,6.73,US,1715224232
151,beyla,8.6833,-8.6333,70.7,97,100,3.42,GN,1715224429
152,isla mujeres,21.2311,-86.731,82.45,86,100,14.07,MX,1715224430
153,touros,-5.1989,-35.4608,77.99,91,34,7.0,BR,1715224226
154,piti village,13.4626,144.6933,88.3,81,75,16.11,GU,1715224430
155,the pas,53.8251,-101.2541,53.33,56,76,4.74,CA,1715224430
156,roma,43.2128,-75.4557,57.72,97,100,10.36,US,1715224312
157,choibalsan,48.0667,114.5,60.4,19,100,7.43,MN,1715224430
158,mil'kovo,55.6078,37.7956,30.97,83,24,13.06,RU,1715224431
159,zarghun shahr,32.8473,68.4457,66.76,31,28,0.31,AF,1715224431
160,saldanha,-33.0117,17.9442,56.64,83,0,9.73,ZA,1715224431
161,cloquet,46.7216,-92.4594,48.38,63,100,8.05,US,1715224391
162,bikenibeu village,1.3673,173.1241,83.98,74,53,10.6,KI,1715224431
163,mount isa,-20.7333,139.5,85.77,48,40,12.66,AU,1715224431
164,vorgashor,67.5833,63.95,20.8,85,100,17.4,RU,1715224431
165,puchezh,56.9788,43.1676,28.72,72,58,17.65,RU,1715224431
166,polva,58.0603,27.0694,30.13,52,96,5.23,EE,1715224431
167,portland,45.5234,-122.6762,65.08,47,20,11.5,US,1715224370
168,puerto aysen,-45.4,-72.7,39.24,100,100,2.42,CL,1715224432
169,holualoa,19.6228,-155.9522,76.84,78,0,9.22,US,1715224350
170,kodiak,57.79,-152.4072,38.71,65,100,9.22,US,1715224432
171,thompson,55.7435,-97.8558,48.72,54,100,5.39,CA,1715224432
172,richards bay,-28.783,32.0377,66.49,91,1,4.14,ZA,1715224432
173,mahina,-17.5065,-149.489,83.75,74,75,11.5,PF,1715224432
174,coquimbo,-29.9533,-71.3436,57.72,75,0,2.13,CL,1715224156
175,harper,4.375,-7.7169,80.13,87,77,4.65,LR,1715224433
176,egilsstadir,65.2653,-14.3948,37.36,74,66,7.0,IS,1715224306
177,yanykurgan,43.915,67.2481,74.89,40,53,8.99,KZ,1715224433
178,korla,41.7597,86.1469,76.71,26,37,22.35,CN,1715224433
179,puerto baquerizo moreno,-0.9,-89.6,73.33,88,100,9.26,EC,1715224207
180,college,64.8569,-147.8028,57.52,37,75,10.36,US,1715224236
181,port elizabeth,-33.918,25.5701,64.31,84,85,3.0,ZA,1715224433
182,lillers,50.5635,2.4804,48.4,94,14,2.82,FR,1715224433
183,luganville,-15.5333,167.1667,78.53,68,90,13.78,VU,1715224433
184,aykhal,66.0,111.5,21.92,78,87,14.56,RU,1715224434
185,pisco,-13.7,-76.2167,66.25,88,7,4.61,PE,1715224434
186,halifax,44.6453,-63.5724,48.47,87,100,3.0,CA,1715224434
187,nikolayevsk-on-amure,53.1406,140.73,58.21,39,100,8.01,RU,1715224434
188,dakhla,23.6848,-15.958,64.45,92,96,14.38,EH,1715224434
189,corinth,37.9407,22.9573,62.24,87,100,2.1,GR,1715224426
190,prince rupert,54.3161,-130.3201,49.53,83,96,3.09,CA,1715224434
191,benghazi,32.1167,20.0667,67.32,56,0,10.76,LY,1715224435
192,rongelap,11.1635,166.8941,80.87,75,78,19.62,MH,1715224435
193,crane,31.3974,-102.3501,80.96,14,0,6.35,US,1715224435
194,bredasdorp,-34.5322,20.0403,51.94,90,0,3.49,ZA,1715224435
195,ronne,55.1009,14.7066,40.91,93,64,0.0,DK,1715224435
196,santa ana de yacuma,-13.75,-65.4333,80.22,73,80,4.92,BO,1715224435
197,baise city,23.8997,106.6133,77.34,99,100,1.1,CN,1715224436
198,belo sur tsiribihina,-19.7,44.55,69.73,66,0,5.21,MG,1715224436
199,zakamensk,50.3741,103.2863,59.83,48,77,6.76,RU,1715224436
200,reggane,26.7158,0.1714,83.68,20,91,16.28,DZ,1715224436
201,polyarnyy,69.1989,33.4478,21.06,93,100,2.62,RU,1715224436
202,afaahiti,-17.75,-149.2833,82.06,83,77,18.81,PF,1715224436
203,lebu,-37.6167,-73.65,46.18,83,21,2.39,CL,1715224436
204,colotlan,22.1,-103.2667,80.55,23,66,4.63,MX,1715224436
205,luanda,-8.8368,13.2343,75.87,94,66,6.64,AO,1715224437
206,guaiba,-30.1139,-51.325,69.3,80,22,6.35,BR,1715224437
207,hotan,37.0997,79.9269,82.81,10,16,2.01,CN,1715224437
208,kavieng,-2.5744,150.7967,83.82,80,100,13.85,PG,1715224437
209,rumoi,43.9344,141.6428,47.89,68,64,6.93,JP,1715224437
210,conde,-7.2597,-34.9075,76.75,89,30,4.94,BR,1715224437
211,seydi,39.4816,62.9137,65.61,65,100,9.8,TM,1715224437
212,al jawf,29.5,38.75,66.76,18,2,13.33,SA,1715224437
213,puerto armuelles,8.2833,-82.8667,82.09,69,100,8.01,PA,1715224398
214,punta arenas,-53.15,-70.9167,39.31,81,75,6.91,CL,1715224438
215,puerto maldonado,-12.6,-69.1833,80.38,79,100,1.97,PE,1715224438
216,gebre guracha,9.8,38.4,58.59,74,78,3.69,ET,1715224438
217,cruzeiro do sul,-29.5128,-51.9853,68.52,82,19,5.03,BR,1715224438
218,fort st. john,56.2499,-120.8529,54.91,37,34,14.52,CA,1715224438
219,kayangel,8.0823,134.7173,83.79,73,38,8.86,PW,1715224438
220,suomussalmi,64.8869,28.9078,27.9,77,5,3.94,FI,1715224438
221,galliano,29.4422,-90.2992,81.0,83,100,12.66,US,1715224439
222,sinop,41.7711,34.8709,53.31,62,18,8.59,TR,1715224439
223,enid,36.3956,-97.8784,66.36,59,0,5.75,US,1715224178
224,anadyr,64.75,177.4833,23.5,67,20,17.9,RU,1715224439
225,saint-joseph,-21.3667,55.6167,73.78,76,34,16.04,RE,1715224439
226,qandala,11.472,49.8728,86.72,71,98,7.9,SO,1715224439
227,tolanaro,-25.0319,46.9987,73.6,76,77,12.44,MG,1715224439
228,qamdo,31.1667,97.2333,49.41,42,100,7.36,CN,1715224439
229,novaya igirma,57.1334,103.9112,40.87,85,100,11.16,RU,1715224440
230,nikko,36.75,139.6167,49.69,75,100,1.81,JP,1715224440
231,axim,4.8699,-2.2405,81.34,85,100,4.41,GH,1715224440
232,songyuan,45.1171,124.8568,67.41,20,7,7.43,CN,1715224440
233,kapa'a,22.0752,-159.319,84.18,84,100,4.61,US,1715224440
234,ta`u,-14.2336,-169.5144,84.51,77,98,14.85,AS,1715224440
235,puerto ayora,-0.7393,-90.3518,74.55,99,100,4.0,EC,1715224440
236,howrah,22.5892,88.3103,84.2,84,75,4.61,IN,1715224440
237,east london,-33.0153,27.9116,68.38,84,39,8.16,ZA,1715224441
238,labuan,5.2767,115.2417,82.53,77,20,5.1,MY,1715224441
239,emsburen,52.4,7.3,51.26,1,18,3.51,DE,1715224441
240,bayanhongor,46.7167,100.1167,52.0,33,37,7.02,MN,1715224441
241,murghob,38.1702,73.9667,35.26,41,0,2.77,TJ,1715224441
242,dakoro,14.5106,6.765,88.0,12,66,6.71,NE,1715224321
243,isafjordur,66.0755,-23.124,32.67,78,14,13.22,IS,1715224441
244,springfield,37.2153,-93.2982,65.26,95,0,3.44,US,1715224413
245,magadi,12.9667,77.2333,80.76,59,98,6.26,IN,1715224442
246,salinopolis,-0.6136,-47.3561,79.25,88,69,6.85,BR,1715224238
247,luena,-11.7833,19.9167,61.75,66,99,6.11,AO,1715224442
248,warrnambool,-38.3833,142.4833,62.47,62,100,5.46,AU,1715224442
249,plettenberg bay,-34.0527,23.3716,57.06,87,0,2.8,ZA,1715224442
250,tazovsky,67.4667,78.7,14.83,90,18,5.75,RU,1715224442
251,fale old settlement,-9.3852,-171.2468,84.02,76,51,5.59,TK,1715224442
252,amga,60.8953,131.9608,43.88,42,100,10.04,RU,1715224443
253,salvador,13.8333,-88.9167,78.04,87,100,3.71,SV,1715224443
254,brisas de zicatela,15.8369,-97.0419,80.55,70,21,7.81,MX,1715224443
255,el bolson,-41.9667,-71.5167,37.33,98,90,6.17,AR,1715224443
256,bubaque,11.2833,-15.8333,78.96,74,73,16.08,GW,1715224443
257,al burayqah,30.4062,19.5739,68.27,71,0,17.02,LY,1715224443
258,villa ocampo,-28.4875,-59.3551,53.28,66,0,12.06,AR,1715224443
259,homer,59.6425,-151.5483,42.67,61,75,11.5,US,1715224443
260,hithadhoo,-0.6,73.0833,84.22,77,95,13.29,MV,1715224443
261,zhezqazghan,47.7833,67.7667,63.18,77,75,8.95,KZ,1715224186
262,buka,40.8108,69.1986,80.46,34,72,4.59,UZ,1715224444
263,ruidoso,33.3317,-105.673,63.25,15,0,11.5,US,1715224444
264,priargunsk,50.3691,119.1012,61.72,17,99,5.61,RU,1715224444
265,ust'-ilimsk,58.0006,102.6619,37.44,95,100,14.0,RU,1715224414
266,sinabang,2.4803,96.3801,86.0,70,65,1.59,ID,1715224444
267,freeport,40.6576,-73.5832,77.36,50,0,8.05,US,1715224226
268,slupsk,54.4641,17.0287,37.45,65,52,5.03,PL,1715224445
269,gadzhiyevo,69.2551,33.3362,20.59,93,100,1.99,RU,1715224445
270,kununurra,-15.7667,128.7333,87.78,35,60,11.5,AU,1715224445
271,senador guiomard,-10.1522,-67.7392,76.75,91,52,2.77,BR,1715224445
272,sangmelima,2.9333,11.9833,67.57,99,100,1.25,CM,1715224445
273,kantharalak,14.6406,104.6499,94.96,63,33,10.42,TH,1715224445
274,troitsko-pechorsk,62.7084,56.1964,31.69,91,100,15.99,RU,1715224445
275,la'ie,21.6477,-157.9253,80.56,75,37,3.0,US,1715224445
276,syas'stroy,60.1367,32.5691,33.06,63,20,17.94,RU,1715224445
277,pop,40.8736,71.1089,79.29,23,20,9.71,UZ,1715224446
278,coahuayana de hidalgo,18.7,-103.6583,71.26,89,37,2.26,MX,1715224446
279,athens,37.9795,23.7162,67.32,51,20,4.61,GR,1715224236
280,aasiaat,68.7098,-52.8699,15.49,81,26,7.92,GL,1715224446
281,muang xay,20.7,101.9833,86.16,58,100,0.83,LA,1715224446
282,paita,-5.0892,-81.1144,69.06,79,95,10.69,PE,1715224446
283,westport,41.1415,-73.3579,75.0,53,0,13.8,US,1715224446
284,pitea,65.3172,21.4794,30.29,91,99,4.52,SE,1715224446
285,midvagur,62.0511,-7.1939,41.83,81,75,14.97,FO,1715224447
286,lushun,38.8,121.2667,71.82,69,15,9.28,CN,1715224447
287,yantarnyy,54.8717,19.9381,39.06,72,60,7.16,RU,1715224447
288,camana,-16.6228,-72.7111,67.46,83,99,8.37,PE,1715224214
289,dodge city,37.7528,-100.0171,57.69,37,0,8.05,US,1715224447
290,rumbek,6.802,29.6912,84.22,37,100,5.01,SS,1715224447
291,prince george,53.9166,-122.753,63.84,23,0,12.66,CA,1715224349
292,swan hill,-35.3378,143.5544,67.91,54,74,5.97,AU,1715224448
293,calheta,32.7167,-17.1833,67.71,59,53,3.0,PT,1715224448
294,tchintabaraden,15.8969,5.7985,89.11,14,19,8.28,NE,1715224448
295,mahdishahr,35.7108,53.3556,51.12,59,11,9.33,IR,1715224448
296,new norfolk,-42.7826,147.0587,59.92,74,63,2.15,AU,1715224448
297,port augusta,-32.5,137.7667,74.86,32,6,9.6,AU,1715224448
298,opuwo,-18.0607,13.84,71.47,47,73,1.97,NA,1715224448
299,lazaro cardenas,17.9583,-102.2,75.36,80,67,4.59,MX,1715224449
300,vorkuta,67.5,64.0,21.11,85,100,15.01,RU,1715224449
301,mahibadhoo,3.7833,72.9667,85.19,73,90,11.39,MV,1715224449
302,kenai,60.5544,-151.2583,37.49,93,100,17.27,US,1715224449
303,picui,-6.5106,-36.3469,70.39,95,17,9.46,BR,1715224449
304,prigrevica,45.6786,19.0867,57.16,80,97,6.96,RS,1715224449
305,al ghayzah,16.2079,52.176,85.17,72,98,1.61,YE,1715224272
306,nyeri,-0.4201,36.9476,57.87,98,92,2.77,KE,1715224449
307,saudarkrokur,65.7461,-19.6394,36.32,71,10,7.54,IS,1715224173
308,nuriootpa,-34.4833,139.0,70.77,36,86,9.01,AU,1715224376
309,gardnerville ranchos,38.8882,-119.7413,53.69,31,0,14.0,US,1715224450
310,arraial do cabo,-22.9661,-42.0278,75.27,89,5,18.72,BR,1715224165
